streaming_log,mos,content,encoding_profile,device
001.csv,65.652,Animation,H264,hdtv
002.csv,52.870,Animation,H264,hdtv
003.csv,48.609,Animation,H264,hdtv
004.csv,80.043,Animation,H264,hdtv
005.csv,66.522,Animation,H264,hdtv
006.csv,63.000,Animation,H264,hdtv
007.csv,85.087,Animation,H264,hdtv
008.csv,69.783,Animation,H264,hdtv
009.csv,65.696,Animation,H264,hdtv
010.csv,42.522,Biking,H264,hdtv
011.csv,36.304,Biking,H264,hdtv
012.csv,34.696,Biking,H264,hdtv
013.csv,58.609,Biking,H264,hdtv
014.csv,52.826,Biking,H264,hdtv
015.csv,51.348,Biking,H264,hdtv
016.csv,79.913,Biking,H264,hdtv
017.csv,68.739,Biking,H264,hdtv
018.csv,62.565,Biking,H264,hdtv
019.csv,44.696,BirdsOfPrey,H264,hdtv
020.csv,36.087,BirdsOfPrey,H264,hdtv
021.csv,38.174,BirdsOfPrey,H264,hdtv
022.csv,87.870,BirdsOfPrey,H264,hdtv
023.csv,68.957,BirdsOfPrey,H264,hdtv
024.csv,69.174,BirdsOfPrey,H264,hdtv
025.csv,92.826,BirdsOfPrey,H264,hdtv
026.csv,78.087,BirdsOfPrey,H264,hdtv
027.csv,70.130,BirdsOfPrey,H264,hdtv
028.csv,63.652,ButterFly,H264,hdtv
029.csv,54.174,ButterFly,H264,hdtv
030.csv,50.043,ButterFly,H264,hdtv
031.csv,71.739,ButterFly,H264,hdtv
032.csv,63.913,ButterFly,H264,hdtv
033.csv,60.348,ButterFly,H264,hdtv
034.csv,81.130,ButterFly,H264,hdtv
035.csv,61.565,ButterFly,H264,hdtv
036.csv,60.957,ButterFly,H264,hdtv
037.csv,47.913,CloudSea1,H264,hdtv
038.csv,37.783,CloudSea1,H264,hdtv
039.csv,33.435,CloudSea1,H264,hdtv
040.csv,73.957,CloudSea1,H264,hdtv
041.csv,62.609,CloudSea1,H264,hdtv
042.csv,55.826,CloudSea1,H264,hdtv
043.csv,88.174,CloudSea1,H264,hdtv
044.csv,63.870,CloudSea1,H264,hdtv
045.csv,62.435,CloudSea1,H264,hdtv
046.csv,37.565,CloudSea2,H264,hdtv
047.csv,35.000,CloudSea2,H264,hdtv
048.csv,29.957,CloudSea2,H264,hdtv
049.csv,72.043,CloudSea2,H264,hdtv
050.csv,60.391,CloudSea2,H264,hdtv
051.csv,54.957,CloudSea2,H264,hdtv
052.csv,86.870,CloudSea2,H264,hdtv
053.csv,67.957,CloudSea2,H264,hdtv
054.csv,64.000,CloudSea2,H264,hdtv
055.csv,46.304,CostaRica1,H264,hdtv
056.csv,38.435,CostaRica1,H264,hdtv
057.csv,38.739,CostaRica1,H264,hdtv
058.csv,74.000,CostaRica1,H264,hdtv
059.csv,63.783,CostaRica1,H264,hdtv
060.csv,59.217,CostaRica1,H264,hdtv
061.csv,85.391,CostaRica1,H264,hdtv
062.csv,69.739,CostaRica1,H264,hdtv
063.csv,65.391,CostaRica1,H264,hdtv
064.csv,42.913,CostaRica2,H264,hdtv
065.csv,34.000,CostaRica2,H264,hdtv
066.csv,33.609,CostaRica2,H264,hdtv
067.csv,86.435,CostaRica2,H264,hdtv
068.csv,66.174,CostaRica2,H264,hdtv
069.csv,66.696,CostaRica2,H264,hdtv
070.csv,84.217,CostaRica2,H264,hdtv
071.csv,70.261,CostaRica2,H264,hdtv
072.csv,69.783,CostaRica2,H264,hdtv
073.csv,52.174,Football1,H264,hdtv
074.csv,42.174,Football1,H264,hdtv
075.csv,35.174,Football1,H264,hdtv
076.csv,72.130,Football1,H264,hdtv
077.csv,61.087,Football1,H264,hdtv
078.csv,52.348,Football1,H264,hdtv
079.csv,80.652,Football1,H264,hdtv
080.csv,68.391,Football1,H264,hdtv
081.csv,59.043,Football1,H264,hdtv
082.csv,28.348,Football2,H264,hdtv
083.csv,26.565,Football2,H264,hdtv
084.csv,24.261,Football2,H264,hdtv
085.csv,51.130,Football2,H264,hdtv
086.csv,46.913,Football2,H264,hdtv
087.csv,41.739,Football2,H264,hdtv
088.csv,74.652,Football2,H264,hdtv
089.csv,64.435,Football2,H264,hdtv
090.csv,54.696,Football2,H264,hdtv
091.csv,21.609,Football3,H264,hdtv
092.csv,17.478,Football3,H264,hdtv
093.csv,16.609,Football3,H264,hdtv
094.csv,60.348,Football3,H264,hdtv
095.csv,41.087,Football3,H264,hdtv
096.csv,46.609,Football3,H264,hdtv
097.csv,71.913,Football3,H264,hdtv
098.csv,61.348,Football3,H264,hdtv
099.csv,54.826,Football3,H264,hdtv
100.csv,41.348,Forest1,H264,hdtv
101.csv,38.130,Forest1,H264,hdtv
102.csv,32.217,Forest1,H264,hdtv
103.csv,59.696,Forest1,H264,hdtv
104.csv,53.174,Forest1,H264,hdtv
105.csv,48.087,Forest1,H264,hdtv
106.csv,75.304,Forest1,H264,hdtv
107.csv,64.870,Forest1,H264,hdtv
108.csv,61.087,Forest1,H264,hdtv
109.csv,37.739,Forest2,H264,hdtv
110.csv,29.000,Forest2,H264,hdtv
111.csv,30.000,Forest2,H264,hdtv
112.csv,50.870,Forest2,H264,hdtv
113.csv,45.348,Forest2,H264,hdtv
114.csv,41.478,Forest2,H264,hdtv
115.csv,73.652,Forest2,H264,hdtv
116.csv,61.565,Forest2,H264,hdtv
117.csv,56.652,Forest2,H264,hdtv
118.csv,36.174,Mtv,H264,hdtv
119.csv,30.478,Mtv,H264,hdtv
120.csv,26.348,Mtv,H264,hdtv
121.csv,37.087,Mtv,H264,hdtv
122.csv,30.870,Mtv,H264,hdtv
123.csv,32.304,Mtv,H264,hdtv
124.csv,64.739,Mtv,H264,hdtv
125.csv,55.609,Mtv,H264,hdtv
126.csv,53.913,Mtv,H264,hdtv
127.csv,31.000,Ski,H264,hdtv
128.csv,27.217,Ski,H264,hdtv
129.csv,23.174,Ski,H264,hdtv
130.csv,44.565,Ski,H264,hdtv
131.csv,34.261,Ski,H264,hdtv
132.csv,37.435,Ski,H264,hdtv
133.csv,82.435,Ski,H264,hdtv
134.csv,50.957,Ski,H264,hdtv
135.csv,60.652,Ski,H264,hdtv
136.csv,40.391,Squirrel,H264,hdtv
137.csv,38.261,Squirrel,H264,hdtv
138.csv,35.174,Squirrel,H264,hdtv
139.csv,80.217,Squirrel,H264,hdtv
140.csv,66.870,Squirrel,H264,hdtv
141.csv,59.348,Squirrel,H264,hdtv
142.csv,86.174,Squirrel,H264,hdtv
143.csv,72.783,Squirrel,H264,hdtv
144.csv,60.174,Squirrel,H264,hdtv
145.csv,65.043,Transformer1,H264,hdtv
146.csv,52.000,Transformer1,H264,hdtv
147.csv,54.217,Transformer1,H264,hdtv
148.csv,86.391,Transformer1,H264,hdtv
149.csv,68.130,Transformer1,H264,hdtv
150.csv,65.000,Transformer1,H264,hdtv
151.csv,84.826,Transformer1,H264,hdtv
152.csv,66.870,Transformer1,H264,hdtv
153.csv,63.696,Transformer1,H264,hdtv
154.csv,32.522,Transformer2,H264,hdtv
155.csv,29.348,Transformer2,H264,hdtv
156.csv,25.130,Transformer2,H264,hdtv
157.csv,78.783,Transformer2,H264,hdtv
158.csv,71.696,Transformer2,H264,hdtv
159.csv,62.826,Transformer2,H264,hdtv
160.csv,90.174,Transformer2,H264,hdtv
161.csv,75.348,Transformer2,H264,hdtv
162.csv,64.435,Transformer2,H264,hdtv
163.csv,30.957,ZAP1,H264,hdtv
164.csv,30.696,ZAP1,H264,hdtv
165.csv,27.478,ZAP1,H264,hdtv
166.csv,47.739,ZAP1,H264,hdtv
167.csv,37.957,ZAP1,H264,hdtv
168.csv,35.870,ZAP1,H264,hdtv
169.csv,84.652,ZAP1,H264,hdtv
170.csv,67.522,ZAP1,H264,hdtv
171.csv,65.000,ZAP1,H264,hdtv
172.csv,37.261,ZAP2,H264,hdtv
173.csv,33.826,ZAP2,H264,hdtv
174.csv,28.652,ZAP2,H264,hdtv
175.csv,51.000,ZAP2,H264,hdtv
176.csv,42.826,ZAP2,H264,hdtv
177.csv,44.826,ZAP2,H264,hdtv
178.csv,80.565,ZAP2,H264,hdtv
179.csv,60.391,ZAP2,H264,hdtv
180.csv,57.522,ZAP2,H264,hdtv
