representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,mvm,mos,psnr,ssim,msssim,vqm,strred,vmaf,ssimplus
1,5.0,1647.784,1.0,22.84,25,1920,1080,0,0.018,71.739,42.996,0.994,0.991,0.177,1.966,88.605,93.64
1,0.0,1383.632,1.0,21.24,25,1920,1080,0,0.025,71.739,43.237,0.995,0.992,0.167,2.529,88.707,93.6
1,0.0,1498.92,1.0,19.92,25,1920,1080,0,0.024,71.739,43.043,0.994,0.991,0.158,1.922,89.409,93.68
1,0.0,1418.136,1.0,25.72,25,1920,1080,0,0.018,71.739,43.075,0.995,0.991,0.158,1.707,89.386,93.8
1,0.0,1742.528,1.0,26.6,25,1920,1080,0,0.017,71.739,43.096,0.995,0.992,0.156,1.691,89.418,93.8
1,0.0,1376.352,1.0,26.4,25,1920,1080,0,0.017,71.739,43.102,0.995,0.991,0.159,1.534,89.371,93.8
1,0.0,1381.832,1.0,27.8,25,1920,1080,0,0.017,71.739,43.071,0.995,0.991,0.155,1.854,90.06,93.84
1,0.0,1439.872,1.0,27.32,25,1920,1080,0,0.018,71.739,43.104,0.995,0.992,0.157,1.633,89.488,93.88
1,0.0,1484.696,1.0,26.56,25,1920,1080,0,0.028,71.739,43.224,0.995,0.992,0.154,3.008,88.638,93.84
1,0.0,1682.168,1.0,28.96,25,1920,1080,0,0.023,71.739,43.014,0.994,0.991,0.167,2.389,87.856,93.68
