streaming_log,FTW,Mok2011QoE,Liu2012QoE,Xue2014QoE,Yin2015QoE,Spiteri2016QoE,Bentaleb2016QoE,SQI,P1203,VideoATLAS,KSQI
001.csv,2.955,5931.689,-7.302,0.217,-1401.984,0.275,-45.741,-7.993,1.084,60.687,0.435
002.csv,4.7,6849.974,7.455,0.452,212.342,1.976,36.047,30.963,0.859,39.11,40.811
003.csv,4.694,6849.974,17.723,0.463,582.527,2.466,45.345,40.418,0.948,43.388,51.431
004.csv,4.71,6849.974,16.63,0.492,520.226,2.514,47.737,49.344,0.853,44.8,51.076
005.csv,4.712,6849.974,18.164,0.512,728.314,2.585,49.721,51.202,0.828,45.963,52.64
006.csv,4.714,6849.974,12.684,0.488,564.255,2.413,47.397,49.167,0.749,44.837,49.536
007.csv,4.712,6849.974,19.349,0.495,806.242,2.642,51.196,52.687,0.851,46.872,54.155
008.csv,4.714,6849.974,24.322,0.498,985.191,2.773,51.697,53.186,0.811,47.201,54.489
009.csv,4.676,7134.229,4.527,0.4,-38.385,1.685,27.603,25.068,0.886,35.445,36.086
010.csv,4.676,7134.229,8.361,0.429,128.739,2.097,41.465,37.661,0.791,41.131,50.369
011.csv,2.726,5931.689,4.593,0.074,-2447.193,0.845,-65.719,-3.726,1.315,59.663,29.788
012.csv,4.678,7134.229,11.308,0.441,228.555,2.308,49.003,44.347,0.765,46.269,57.638
013.csv,4.654,7134.229,5.64,0.364,-138.512,1.848,41.242,31.475,0.784,41.552,52.894
014.csv,4.123,5931.689,5.675,0.363,-202.039,1.897,38.442,33.781,0.839,52.427,57.034
015.csv,3.595,5931.689,4.231,0.336,-418.261,1.805,29.758,24.146,0.918,59.526,49.085
016.csv,2.562,6215.944,-11.152,0.068,-3718.498,-0.991,-78.798,-32.001,1.083,60.681,0.0
017.csv,4.629,7134.229,5.382,0.325,-357.304,1.771,39.749,25.8,0.787,42.686,55.653
018.csv,4.684,6849.974,13.236,0.44,498.021,2.602,65.807,58.729,0.421,58.432,72.371
019.csv,4.678,7134.229,15.375,0.444,497.146,2.692,66.852,59.731,0.473,59.723,74.471
020.csv,4.678,7134.229,19.703,0.44,597.319,2.83,68.394,61.211,0.482,60.904,76.124
021.csv,3.589,7134.229,8.047,0.179,-1088.955,1.714,-1.534,12.844,0.955,58.579,54.316
022.csv,4.678,7134.229,34.177,0.474,1031.376,3.207,72.244,64.695,0.41,63.479,80.014
023.csv,4.687,6849.974,21.042,0.5,887.926,3.039,73.705,66.003,0.333,63.632,79.713
024.csv,4.684,6849.974,24.217,0.465,1082.777,3.119,75.567,67.782,0.248,65.055,82.329
025.csv,4.684,6849.974,26.403,0.473,1133.376,3.179,76.156,68.284,0.268,65.361,82.881
026.csv,4.684,6849.974,32.788,0.454,1380.619,3.354,77.809,69.821,0.15,66.253,84.573
027.csv,3.976,5647.434,14.537,0.354,178.378,2.573,45.189,41.877,0.486,59.297,65.289
028.csv,4.693,6849.974,30.239,0.451,1298.602,3.389,80.993,72.933,0.002,67.251,86.048
029.csv,3.802,5647.434,42.868,0.422,2016.765,3.667,76.142,80.341,0.251,60.674,87.307
030.csv,4.703,6849.974,48.424,0.451,2279.973,3.867,83.91,83.441,-0.093,68.062,87.337
031.csv,2.677,5647.434,38.016,0.18,418.068,2.666,5.894,26.684,0.853,60.732,61.251
032.csv,4.706,6849.974,65.92,0.503,3343.629,4.147,86.158,85.822,-0.127,68.791,88.972
033.csv,4.706,6849.974,69.089,0.509,3416.98,4.188,86.336,85.983,-0.128,68.854,89.139
034.csv,4.663,7134.229,21.921,0.466,866.223,2.964,71.95,57.266,0.328,64.159,81.978
035.csv,4.674,7134.229,22.362,0.484,967.162,3.033,73.826,65.863,0.33,64.531,81.978
036.csv,4.663,7134.229,24.063,0.454,915.796,3.042,73.036,58.218,0.306,64.785,83.079
037.csv,4.674,7134.229,31.304,0.427,1321.649,3.345,80.069,71.486,0.006,67.668,88.313
038.csv,4.673,7134.229,32.521,0.432,1501.687,3.358,80.125,71.545,-0.006,67.753,88.616
039.csv,4.674,7134.229,37.867,0.435,1590.804,3.506,80.822,72.189,-0.014,67.983,89.104
040.csv,3.631,5931.689,20.121,0.362,547.894,2.738,58.04,41.286,0.607,60.546,71.265
041.csv,3.806,7134.229,12.67,0.259,-311.452,2.233,28.028,34.274,0.618,59.369,64.313
