streaming_log,FTW,Mok2011QoE,Liu2012QoE,Xue2014QoE,Yin2015QoE,Spiteri2016QoE,Bentaleb2016QoE,SQI,P1203,VideoATLAS,KSQI
0001.csv,5.2,9019.87,44.266,0.758,2411.147,3.926,89.904,90.0,-0.762,78.234,90.0
0002.csv,4.339,6565.719,192.52,0.507,9080.567,4.299,52.762,65.323,-0.305,68.09,76.534
0003.csv,3.205,6565.719,237.811,0.544,12079.379,4.553,54.62,62.579,0.39,60.53,70.077
0004.csv,4.448,6565.719,72.697,0.58,2907.117,3.723,65.897,71.151,-0.404,70.248,78.846
0005.csv,4.672,6565.719,116.627,0.736,6053.249,4.783,92.564,88.91,-0.566,71.257,88.803
0006.csv,4.218,6565.719,83.59,0.737,4541.629,4.434,92.336,88.733,-0.288,62.07,88.66
0007.csv,5.2,9019.87,11.314,0.734,583.906,2.576,43.151,43.429,0.56,43.668,43.6
0008.csv,5.2,9019.87,18.64,0.736,986.769,3.069,62.113,62.429,0.205,56.786,62.44
0009.csv,4.576,6565.719,30.767,0.641,1285.175,3.23,69.71,72.036,-0.14,67.419,74.073
0010.csv,5.2,9019.87,44.266,0.758,2411.147,3.926,98.257,98.286,-0.719,81.586,98.286
0011.csv,4.34,6565.719,192.528,0.508,9082.756,4.3,54.728,66.903,-0.35,68.241,78.391
0012.csv,3.202,6565.719,237.785,0.543,12072.811,4.549,56.341,64.115,0.364,60.515,71.934
0013.csv,4.446,6565.719,72.65,0.579,2896.169,3.716,67.906,73.093,-0.599,70.511,81.131
0014.csv,4.673,6565.719,116.658,0.737,6059.192,4.787,94.759,90.927,-0.643,71.519,90.803
0015.csv,4.669,6565.719,83.55,0.735,4534.122,4.429,94.279,90.752,-0.776,71.51,90.803
0016.csv,5.2,9019.87,11.314,0.734,583.906,2.576,51.122,51.429,0.548,48.296,51.55
0017.csv,5.2,9019.87,18.64,0.736,986.769,3.069,75.141,75.429,0.186,67.997,75.429
0018.csv,4.577,6565.719,30.772,0.641,1286.114,3.23,79.517,80.109,-0.119,70.605,82.606
0019.csv,5.2,9019.87,44.266,0.758,2411.147,3.926,79.171,79.286,0.187,71.114,79.286
0020.csv,4.342,6565.719,205.076,0.515,8849.302,4.397,55.007,66.968,-0.312,67.074,78.391
0021.csv,3.203,6565.719,237.793,0.544,12075.0,4.55,56.403,64.128,0.391,60.515,71.934
0022.csv,4.448,6565.719,72.694,0.58,2906.492,3.723,59.669,67.323,-0.165,68.813,74.04
0023.csv,4.672,6565.719,116.632,0.736,6054.187,4.784,90.323,86.822,-0.57,70.875,86.316
0024.csv,4.668,6565.719,83.522,0.735,4528.804,4.426,85.892,83.479,-0.324,69.851,82.66
0025.csv,5.2,9019.87,17.18,0.739,966.884,2.979,37.331,37.714,0.945,41.373,37.849
0026.csv,5.2,9019.87,18.64,0.736,986.769,3.069,41.474,41.857,0.912,42.949,41.991
0027.csv,4.576,6565.719,30.752,0.641,1282.047,3.227,57.575,61.808,0.553,60.34,63.196
0028.csv,5.2,9019.87,45.969,0.47,2796.941,3.945,77.809,78.0,-0.773,70.099,78.0
0029.csv,3.827,7134.229,172.897,0.35,8995.575,4.258,55.602,61.532,-0.101,61.256,76.869
0030.csv,2.567,6565.719,229.06,0.312,12427.079,4.026,32.149,45.091,0.689,60.729,47.996
0031.csv,4.002,7134.229,67.391,0.364,3368.493,3.71,60.176,60.876,-0.139,60.517,71.573
0032.csv,4.677,7134.229,101.25,0.459,5577.994,4.475,81.6,78.834,-0.403,68.68,89.143
0033.csv,5.2,9019.87,81.129,0.479,4864.044,4.516,85.999,86.286,-0.803,76.079,85.941
0034.csv,4.71,6849.974,11.658,0.426,609.914,2.508,38.598,39.906,0.65,40.958,40.493
0035.csv,5.2,9019.87,18.137,0.451,1070.834,3.005,53.199,53.429,0.265,49.684,53.39
0036.csv,3.495,6849.974,28.12,0.361,1059.005,2.974,43.85,55.831,0.386,60.184,58.599
0037.csv,5.2,9019.87,45.969,0.47,2796.941,3.945,90.856,91.0,-0.727,78.749,91.0
0038.csv,3.825,7134.229,172.875,0.349,8980.293,4.247,61.97,66.914,-0.137,61.449,83.44
0039.csv,2.563,6565.719,229.017,0.311,12414.88,4.018,36.457,48.669,0.666,60.728,52.567
0040.csv,4.003,7134.229,67.397,0.364,3370.152,3.711,71.845,70.184,-0.312,61.771,82.093
0041.csv,4.677,7134.229,101.256,0.459,5580.878,4.477,90.72,87.365,-0.571,71.044,98.143
0042.csv,3.721,6565.719,75.875,0.43,4268.657,4.191,84.677,85.051,-0.12,60.754,86.946
0043.csv,4.71,6849.974,11.647,0.426,605.588,2.505,50.184,51.436,0.637,46.161,52.183
0044.csv,5.2,9019.87,18.137,0.451,1070.834,3.005,67.465,67.714,0.239,61.352,67.611
0045.csv,3.496,6849.974,28.134,0.361,1060.74,2.975,57.951,66.534,0.395,60.589,70.39
0046.csv,5.2,9019.87,45.969,0.47,2796.941,3.945,70.98,71.143,0.167,64.342,71.143
0047.csv,3.826,7134.229,172.878,0.349,8984.184,4.25,52.044,58.69,-0.112,60.985,73.583
0048.csv,2.567,6565.719,229.054,0.312,12425.515,4.025,30.058,44.092,0.689,60.73,45.996
0049.csv,4.001,7134.229,67.382,0.364,3369.809,3.711,55.31,56.58,0.079,59.571,66.716
0050.csv,4.677,7134.229,101.252,0.459,5578.955,4.475,76.598,74.125,-0.259,66.468,84.143
0051.csv,5.2,9019.87,81.129,0.479,4864.044,4.516,80.722,81.0,-0.529,72.424,80.786
0052.csv,4.71,6849.974,11.66,0.427,611.116,2.509,31.801,33.143,1.041,39.566,33.636
0053.csv,5.2,9019.87,18.137,0.451,1070.834,3.005,44.589,44.857,0.938,44.377,44.964
0054.csv,3.487,6849.974,28.043,0.36,1045.212,2.964,36.806,49.804,0.801,59.941,51.969
0055.csv,5.2,9019.87,43.222,0.542,2394.101,3.899,93.685,93.857,-0.766,80.056,93.857
0056.csv,4.084,6849.974,164.119,0.485,8725.645,4.852,83.742,82.939,-0.286,61.769,85.807
0057.csv,3.578,6565.719,242.806,0.374,12165.329,4.33,45.491,61.894,0.573,59.969,75.643
0058.csv,4.154,6849.974,68.082,0.487,3343.51,4.088,85.77,82.303,-0.205,61.985,87.173
0059.csv,4.705,6849.974,114.412,0.547,6087.952,4.795,95.934,93.882,-0.504,71.348,98.571
0060.csv,5.2,9019.87,82.149,0.562,4523.54,4.549,97.771,97.857,-0.808,81.465,97.857
